title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
The Majestic,72000000,37317558,-34682442,18.09217669086922,17.43497452451595,2001,Drama,152.0,6.6,en,11.215702
Two Brothers,74500000,62172050,-12327950,18.126309696772605,17.94541611588955,2004,Adventure,109.0,6.9,en,8.884318
Vanilla Sky,68000000,203388341,135388341,18.035018277846262,19.130627724301913,2001,Drama,136.0,6.5,en,27.299301
AVP: Alien vs. Predator,70000000,171183863,101183863,18.064005814299346,18.958248764893437,2004,Adventure,101.0,5.5,en,42.957216
Olympus Has Fallen,70000000,161025640,91025640,18.064005814299346,18.897074171137636,2013,Action,120.0,6.2,en,59.428223
Star Trek: Insurrection,70000000,118000000,48000000,18.064005814299346,18.586195190904515,1998,Science Fiction,103.0,6.3,en,19.711951
Battle: Los Angeles,70000000,202466756,132466756,18.064005814299346,19.126086268071692,2011,Action,116.0,5.5,en,49.199234
Big Fish,70000000,122919055,52919055,18.064005814299346,18.627036615405334,2003,Adventure,125.0,7.6,en,46.199482
Wolf,0,0,0,0.0,0.0,1994,Fantasy,125.0,6.0,en,13.758526
War Horse,66000000,177584879,111584879,18.005165315142214,18.994959249763006,2011,Drama,146.0,7.0,en,29.505574
The Monuments Men,70000000,154984035,84984035,18.064005814299346,18.858832676030932,2014,War,118.0,5.8,en,43.873266
The Abyss,70000000,90000098,20000098,18.064005814299346,18.315321328293933,1989,Adventure,139.0,7.1,en,24.961625
Wall Street: Money Never Sleeps,70000000,134748021,64748021,18.064005814299346,18.718917088610393,2010,Drama,133.0,5.8,en,23.25645
Dracula Untold,70000000,215529201,145529201,18.064005814299346,19.18860696644833,2014,Horror,92.0,6.2,en,64.457947
The Siege,70000000,116672912,46672912,18.064005814299346,18.57488496234641,1998,Drama,116.0,6.0,en,20.089933
Stardust,70000000,135560026,65560026,18.064005814299346,18.724925103876902,2007,Adventure,127.0,7.1,en,48.032734
Seven Years in Tibet,70000000,131457682,61457682,18.064005814299346,18.69419555551126,1997,Adventure,136.0,7.0,en,16.92991
The Dilemma,70000000,67112664,-2887336,18.064005814299346,18.02188333226833,2011,Comedy,111.0,5.2,en,14.780634
Bad Company,70000000,65977295,-4022705,18.064005814299346,18.004821240809125,2002,Action,116.0,5.4,en,14.086292
Doom,60000000,55987321,-4012679,17.909855136853043,17.84063583021155,2005,Adventure,105.0,5.0,en,29.261348
I Spy,70000000,33561137,-36438863,18.064005814299346,17.32887934840434,2002,Action,97.0,5.2,en,13.267631
Underworld: Awakening,70000000,160112671,90112671,18.064005814299346,18.89138832536562,2012,Fantasy,88.0,6.1,en,58.401204
Hart's War,70000000,32287044,-37712956,18.064005814299346,17.290176624146017,2002,Drama,125.0,5.9,en,14.244518
Killer Elite,66000000,57777106,-8222894,18.005165315142214,17.87210318252075,2011,Action,116.0,6.1,en,29.501489
Rollerball,0,0,0,0.0,0.0,2002,Action,98.0,3.4,en,9.306253
Ballistic: Ecks vs. Sever,70000000,19924033,-50075967,18.064005814299346,16.807437299658496,2002,Action,91.0,4.3,en,8.37378
Hard Rain,70000000,19870567,-50129433,18.064005814299346,16.804750199927184,1998,Thriller,97.0,5.5,en,10.930537
Legends of Oz: Dorothy's Return,70000000,18662027,-51337973,18.064005814299346,16.742001429150072,2013,Animation,88.0,5.9,en,6.682006
Blackhat,70000000,17752940,-52247060,18.064005814299346,16.69206175030145,2015,Crime,133.0,5.1,en,46.832372
Sky Captain and the World of Tomorrow,70000000,57958696,-12041304,18.064005814299346,17.87524119414266,2004,Mystery,107.0,5.7,en,24.664776
Basic Instinct 2,70000000,38629478,-31370522,18.064005814299346,17.469526247624255,2006,Crime,114.0,4.6,en,13.483387
Escape Plan,50000000,122915111,72915111,17.72753358339242,18.627004528734613,2013,Action,115.0,6.7,en,44.478043
The Legend of Hercules,70000000,61279452,-8720548,18.064005814299346,17.93095515711656,2014,Action,99.0,4.4,en,25.020428
The Sum of All Fears,68000000,193000000,125000000,18.035018277846262,19.078200752050506,2002,Thriller,124.0,5.9,en,22.392544
The Score,68000000,71069884,3069884,18.035018277846262,18.079174246678793,2001,Action,124.0,6.7,en,22.572323
Money Train,60000000,35431113,-24568887,17.909855136853043,17.38310091862791,1995,Action,103.0,5.4,en,10.004564
Ted 2,68000000,217022588,149022588,18.035018277846262,19.195512002861236,2015,Comedy,115.0,6.2,en,68.734513
Agora,70000000,39041505,-30958495,18.064005814299346,17.48013589458481,2009,Adventure,127.0,6.9,en,18.888806
Mystery Men,68000000,29762011,-38237989,18.035018277846262,17.208743373170762,1999,Adventure,121.0,5.7,en,12.948627
Hall Pass,36000000,83160734,47160734,17.399029524198163,18.236285859298867,2011,Comedy,105.0,5.4,en,27.11589
Body of Lies,70000000,113280098,43280098,18.064005814299346,18.54537406184998,2008,Action,128.0,6.5,en,37.507136
Dinner for Schmucks,69000000,86387857,17387857,18.049617077054286,18.27435769149127,2010,Comedy,114.0,5.5,en,11.023691
Abraham Lincoln: Vampire Hunter,69000000,112265139,43265139,18.049617077054286,18.536373952997053,2012,Action,94.0,5.5,en,38.634767
Entrapment,66000000,212404396,146404396,18.005165315142214,19.174002548624376,1999,Romance,112.0,6.0,en,25.877794
